relative_path,parent_dataset,extension,size_bytes,modified_at,detected_format,encoding,schema_or_fields,spatial_fields,detected_crs,time_fields,time_coverage,row_count_estimate,source_or_owner_hint,license_hint,sensitivity_or_risk,proposed_ingestion_route,decision,decision_reason,follow_up_required
歷史品管、即時海氣象水文觀測資料\海保署\海子口5m\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1468,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,12,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\海子口5m\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,51,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\海子口潮間帶1m\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1458,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,12,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\海子口潮間帶1m\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,54,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\海湖電廠\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1764,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,15,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\海湖電廠\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,50,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\淡水河口外4海浬處\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1748,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,15,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\淡水河口外4海浬處\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,52,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\深澳發電廠\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1724,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,15,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\深澳發電廠\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,52,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\深澳發電廠外海\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1738,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,15,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\深澳發電廠外海\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,51,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\濁水溪口一\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1760,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,15,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\濁水溪口一\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,52,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\濁水溪口二\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1750,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,15,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\濁水溪口二\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,52,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\濁水溪口外4海浬\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1739,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,15,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\濁水溪口外4海浬\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,52,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\濂洞溪外海\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1752,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,15,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\濂洞溪外海\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,52,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\烏崁海域\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1728,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,15,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\烏崁海域\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,52,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\白沙尾港港外(右)\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1238,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,9,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\白沙尾港港外(右)\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,50,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\白沙尾漁港港嘴\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,737,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,5,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\白沙尾漁港港嘴\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,48,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\白沙尾漁港港外(左)\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1249,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,9,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\白沙尾漁港港外(左)\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,50,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\白沙尾漁港港外向外延伸500m(右)\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1229,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,9,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\白沙尾漁港港外向外延伸500m(右)\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,50,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\白沙尾漁港港外向外延伸500m(左)\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1218,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,9,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\白沙尾漁港港外向外延伸500m(左)\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,50,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\知本溪口\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1729,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,15,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\知本溪口\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,52,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\石牛溪口\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1731,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,15,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\石牛溪口\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,52,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\秀姑巒溪河口\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1721,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,15,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\秀姑巒溪河口\LonLat.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,52,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,CenterLongitude; CenterLatitude,CenterLongitude; CenterLatitude,,,,2,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
歷史品管、即時海氣象水文觀測資料\海保署\立霧溪河口\2023_2025.csv,歷史品管與即時海氣象水文觀測資料（海保署）,.csv,1714,2026-09-17T18:54:08+08:00,CSV,utf-8-sig,測站編號; 時間; 氣溫; 鹽度; 水溫; 酸鹼值; 懸浮固體; 溶氧(電極法); 溶氧飽和度; 葉綠素a; 氨氮; 硝酸鹽氮; 正磷酸鹽; 亞硝酸鹽氮; 矽酸鹽,,,時間,2023–2025,15,海保署,需確認各提供者授權條件,高（涉及安全決策風險）,live_or_time_series_candidate,時序工具候選,海保署 座標或後設 資料。研究統計優先使用 qc 品管版本。不可列為 document_rag_candidate。歷史資料僅可回答歷史描述，不可提供當日下水安全判定。,確認時區（疑似 UTC+8）；確認授權（海保署）；確認 qc 與 realtime 時間範圍
